snapshot_id,provider,source_id,maker_id,captured_at,complete_traversal,entries,window_kind,order_basis,window_start_external_id,window_end_external_id,resume_after_external_id,continues_from_snapshot_id
attackers-series-2026-09-04-partial-003,attackers.series,source_attackers_official,maker_000004,2026-09-04,false,20,segment,manual-review-order,2287,2312,2312,attackers-series-2026-09-04-partial-002
ideapocket-series-2026-09-04-partial-002,ideapocket.series,source_ideapocket_official,maker_000001,2026-09-04,false,5,segment,manual-review-order,940,944,944,ideapocket-series-2026-09-04-partial-001
madonna-series-2026-09-04-partial-003,madonna.series,source_madonna_official,maker_000005,2026-09-04,false,20,segment,manual-review-order,1565,1595,1595,madonna-series-2026-09-04-partial-002
moodyz-series-2026-09-04-partial-002,moodyz.series,source_moodyz_official,maker_000002,2026-09-04,false,5,segment,manual-review-order,3563,3567,3567,moodyz-series-2026-09-04-partial-001
s1-series-2026-09-04-partial-002,s1.series,source_s1_official,maker_000003,2026-09-04,false,5,segment,manual-review-order,571,575,575,s1-series-2026-09-04-partial-001
