provider_key,provider,maker_id,source_id,snapshots,snapshot_entries,unique_snapshot_external_ids,approved_mappings,review_publish,review_hold,review_reject,latest_snapshot_id,latest_captured_at,latest_complete_traversal,window_kind,order_basis,window_start_external_id,window_end_external_id,resume_after_external_id,continues_from_snapshot_id,continuation_chain_depth,source_discovered,source_reviewed,source_published,source_unrecognized,source_complete_traversal
attackers,attackers.series,maker_000004,source_attackers_official,3,50,50,52,44,1,0,attackers-series-2026-09-04-partial-003,2026-09-04,false,segment,manual-review-order,2287,2312,2312,attackers-series-2026-09-04-partial-002,3,53,53,52,1,false
ideapocket,ideapocket.series,maker_000001,source_ideapocket_official,2,8,8,8,6,0,0,ideapocket-series-2026-09-04-partial-002,2026-09-04,false,segment,manual-review-order,940,944,944,ideapocket-series-2026-09-04-partial-001,2,8,8,8,0,false
madonna,madonna.series,maker_000005,source_madonna_official,3,49,39,42,39,0,0,madonna-series-2026-09-04-partial-003,2026-09-04,false,segment,manual-review-order,1565,1595,1595,madonna-series-2026-09-04-partial-002,3,42,42,42,0,false
moodyz,moodyz.series,maker_000002,source_moodyz_official,2,9,9,9,8,0,0,moodyz-series-2026-09-04-partial-002,2026-09-04,false,segment,manual-review-order,3563,3567,3567,moodyz-series-2026-09-04-partial-001,2,9,9,9,0,false
s1,s1.series,maker_000003,source_s1_official,2,8,8,8,5,0,0,s1-series-2026-09-04-partial-002,2026-09-04,false,segment,manual-review-order,571,575,575,s1-series-2026-09-04-partial-001,2,8,8,8,0,false
